shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
203_1_1_shp,41.16073,-8.62837,153
203_1_1_shp,41.16075,-8.62837,154
203_1_1_shp,41.16076,-8.62837,155
203_1_1_shp,41.16086,-8.62833,156
203_1_1_shp,41.16175,-8.62804,157
203_1_1_shp,41.16187,-8.62801,158
203_1_1_shp,41.16189,-8.628,159
203_1_1_shp,41.16209,-8.62791,160
203_1_1_shp,41.1621,-8.62791,161
203_1_1_shp,41.16222,-8.62785,162
203_1_1_shp,41.16224,-8.62785,163
203_1_1_shp,41.16232,-8.62781,164
203_1_1_shp,41.16238,-8.6278,165
203_1_1_shp,41.16316,-8.62757,166
203_1_1_shp,41.16335,-8.62751,167
203_1_1_shp,41.16352,-8.62747,168
203_1_1_shp,41.16345,-8.62645,169
203_1_1_shp,41.16341,-8.62575,170
203_1_1_shp,41.1634,-8.62557,171
203_1_1_shp,41.16339,-8.62533,172
203_1_1_shp,41.16336,-8.62478,173
203_1_1_shp,41.16333,-8.62464,174
203_1_1_shp,41.1633,-8.62392,175
203_1_1_shp,41.16324,-8.62362,176
203_1_1_shp,41.16319,-8.62338,177
203_1_1_shp,41.16317,-8.62329,178
203_1_1_shp,41.16311,-8.62306,179
203_1_1_shp,41.16305,-8.62284,180
203_1_1_shp,41.16301,-8.6227,181
203_1_1_shp,41.16299,-8.62261,182
203_1_1_shp,41.16293,-8.62223,183
203_1_1_shp,41.16292,-8.62219,184
203_1_1_shp,41.16286,-8.62185,185
203_1_1_shp,41.16282,-8.62148,186
203_1_1_shp,41.16279,-8.62129,187
203_1_1_shp,41.16274,-8.62086,188
203_1_1_shp,41.1627,-8.62041,189
203_1_1_shp,41.16267,-8.61997,190
203_1_1_shp,41.16256,-8.61846,191
203_1_1_shp,41.16237,-8.61648,192
203_1_1_shp,41.16228,-8.61577,193
203_1_1_shp,41.16223,-8.61541,194
203_1_1_shp,41.16214,-8.61471,195
203_1_1_shp,41.16209,-8.61429,196
203_1_1_shp,41.16208,-8.61416,197
203_1_1_shp,41.16207,-8.6141,198
203_1_1_shp,41.16202,-8.6137,199
203_1_1_shp,41.16194,-8.61312,200
203_1_1_shp,41.16192,-8.61295,201
203_1_1_shp,41.16189,-8.61272,202
203_1_1_shp,41.16185,-8.61248,203
203_1_1_shp,41.16177,-8.61181,204
203_1_1_shp,41.16173,-8.61135,205
203_1_1_shp,41.16166,-8.6108,206
203_1_1_shp,41.16164,-8.61065,207
203_1_1_shp,41.16159,-8.61021,208
203_1_1_shp,41.16156,-8.61001,209
203_1_1_shp,41.16149,-8.6096,210
203_1_1_shp,41.16143,-8.60938,211
203_1_1_shp,41.16131,-8.60885,212
203_1_1_shp,41.16128,-8.60872,213
203_1_1_shp,41.16118,-8.60818,214
203_1_1_shp,41.16105,-8.60748,215
203_1_1_shp,41.16076,-8.60596,216
203_1_1_shp,41.16067,-8.60551,217
203_1_1_shp,41.1606,-8.6052,218
203_1_1_shp,41.16051,-8.6049,219
203_1_1_shp,41.16044,-8.60471,220
203_1_1_shp,41.16044,-8.6047,221
203_1_1_shp,41.16036,-8.60446,222
